id;cpu;ram
t2.nano;1;0.5
t2.micro;1;1
t1.micro;1;0.6
t2.small;1;2
m1.small;1;1.7
t2.medium;2;4
m3.medium;1;3.75
m1.medium;1;3.7
t2.large;2;8
c4.large;2;3.7
m4.large;2;8
c3.large;2;3.7
m3.large;2;7.5
c1.medium;2;1.7
r4.large;2;15.25
i3.large;2;15.25
r3.large;2;15.2
m1.large;2;7.5
t2.xlarge;4;16
c4.xlarge;4;7.5
m4.xlarge;4;16
c3.xlarge;4;7.5
m2.xlarge;2;17.1
m3.xlarge;4;15
r4.xlarge;4;30.5
i3.xlarge;4;30.5
r3.xlarge;4;30.5
m1.xlarge;4;15
t2.2xlarge;8;32
c4.2xlarge;8;15
m4.2xlarge;8;32
c3.2xlarge;8;15
m2.2xlarge;4;34.2
m3.2xlarge;8;30
c1.xlarge;8;7
r4.2xlarge;8;61
i3.2xlarge;8;61
g2.2xlarge;8;15
d2.xlarge;4;30.5
r3.2xlarge;8;61
c4.4xlarge;16;30
i2.xlarge;4;30.5
m4.4xlarge;16;64
c3.4xlarge;16;30
p2.xlarge;4;61
m2.4xlarge;8;68.4
r4.4xlarge;16;122
i3.4xlarge;16;122
d2.2xlarge;8;61
r3.4xlarge;16;122
c4.8xlarge;36;60
i2.2xlarge;8;61
c3.8xlarge;32;60
cc2.8xlarge;32;60.5
cg1.4xlarge;16;22.5
r4.8xlarge;32;244
m4.10xlarge;40;160
i3.8xlarge;32;244
g2.8xlarge;32;60
d2.4xlarge;16;122
r3.8xlarge;32;244
hi1.4xlarge;16;60.5
cr1.8xlarge;32;244
i2.4xlarge;16;122
m4.16xlarge;64;256
r4.16xlarge;64;488
hs1.8xlarge;16;117
i3.16xlarge;64;488
d2.8xlarge;36;244
i2.8xlarge;32;244
p2.8xlarge;32;488
x1.16xlarge;64;976
p2.16xlarge;64;732
x1.32xlarge;128;1952
